# material     : carbon-nanotube
# h5path       : /scratch/yimili/matrices/hdf5/carbon-nanotube.h5
# block size   : 32
# indices      : 30..30 (1 requested)
# outer tol    : 1e-14   max_iter 10
# inner gmres  : rtol 0.01 restart 30 maxiter 50
# x_true       : superlu complex128
# skipped      : 0
idx,kappa,n,nnz,variant,relres,true_err,outer_iters,converged,inner_gmres_total,inner_gmres_mean,wall_s,factor_mb,note
30,2291.949619741724,768,71680,fp16 direct,0.037024625001781115,0.021050916949616486,0,0,0,nan,0.5794032448902726,0.585728,
30,2291.949619741724,768,71680,fp16 + LU-IR,3.151543770012889e-15,6.639349115456849e-15,9,1,0,nan,3.7294584549963474,0.585728,
30,2291.949619741724,768,71680,fp16 + GMRES-IR,2.717010576686562e-15,6.6058533471841634e-15,6,1,72,3.6,13.649572008289397,0.585728,
30,2291.949619741724,768,71680,c64 + GMRES-IR,2.908861051291507e-15,6.588522615489709e-15,3,1,8,1.0,0.07161255506798625,0.576512,
30,2291.949619741724,768,71680,c128 direct,9.323594492082446e-15,1.1365782142346027e-14,0,0,0,nan,0.01460072910413146,1.149952,
