idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
94,0.016649428494402395,0.014883588746391478,1.7468966430583586e-06,1499.3401132734434
95,0.017164942033999712,0.02166811535748319,1.6202370777365008e-06,1500.5963440919238
96,0.017164360213043402,0.018583943352225556,2.3837351364020735e-06,1501.8569835425442
97,0.016694917341795856,0.01881921581741768,1.7844366747798087e-06,1503.1221735055244
98,0.017232630053943983,0.013371213816904851,2.481960669138253e-06,1504.3920537568974
99,0.017019397509453423,0.015374244950481654,2.1268210289877905e-06,1505.6667654666076
100,0.016685390994248595,0.018238601625793757,1.9099865761235155e-06,1506.9464543345728
101,0.01686712674235888,0.01652069759411241,1.932854073907231e-06,1508.2312734512286
102,0.01664144442469361,0.015635007755930658,2.3479144892032565e-06,1509.5213860475023
103,0.015967614826059896,0.013968580545255852,2.1907025814606347e-06,1510.81696841968
104,0.01650695676343181,0.01646602014054146,1.5782783447637594e-06,1512.1182135033143
105,0.016366626384229043,0.014189894606735184,1.6358349329922516e-06,1513.4253359203854
106,0.016977401488574153,0.012122240580840594,2.107898414115699e-06,1514.7385800072082
107,0.016370726865782517,0.009856016778509077,2.040593404283568e-06,1516.058233777515
108,0.017054494974216704,0.019740436721127335,2.1246940537089324e-06,1517.3846550929097
109,0.017150546767254245,0.015251780718661312,1.9533163334843735e-06,1518.7183245821336
110,0.01630904820473785,0.017312146498763968,2.3535137687078353e-06,1520.059962740957
111,0.016687629999547895,0.012336320641152873,2.7595447568110312e-06,1521.410820404145
112,0.017394962586224555,0.014524022912682615,2.126951969623264e-06,1522.7735132999264
113,0.017391429561924864,0.01336491355730024,2.1048051061188555e-06,1524.1548753645263
114,0.01669053481252869,0.01937624134770051,2.7432794370503505e-06,1525.576384763814
115,0.01743193454394763,0.016340007238403387,2.2342782498885635e-06,1527.085087280773
116,0.016722344651496298,0.01421502463855581,2.148663266785208e-06,1528.6794727027818
117,0.016449300847175094,0.021078754054780137,2.010573226266001e-06,1530.3088926210169
118,0.01726147866807653,0.020760459579588476,1.4500351495078632e-06,1531.9502025880345
119,0.01667567518895463,0.01914426929763108,1.6255141590066561e-06,1533.596107272617
120,0.0163124449825342,0.020207414505145144,2.189037236384618e-06,1535.2438170098744
121,0.01698558114096117,0.020036301212195358,2.370572262576504e-06,1536.891976060904
122,0.016343559664093593,0.016451298775087393,1.7813101966259543e-06,1538.5397776127477
123,0.016406038541637108,0.013594135809787846,1.7296294916248393e-06,1540.186660750472
124,0.01628648415750817,0.016296437280416628,1.731419183381296e-06,1541.8321912562976
125,0.016296964278221415,0.019176271251691655,2.6279893794459258e-06,1543.4760102315079
126,0.01661515451066895,0.018239195714671495,1.8580261642987655e-06,1545.1178110979351
127,0.016304510250379017,0.015766644533994432,1.7099270651012198e-06,1546.757329747075
128,0.016853809619151745,0.019062802096192998,1.9471674479912013e-06,1548.394341281536
129,0.01706354649127079,0.01819589931267301,2.3058664172631006e-06,1550.0286602416602
130,0.01711836548719503,0.02256731910683683,2.3096012753684334e-06,1551.6601426981085
131,0.01635602074338721,0.013866650451806932,2.450358799289563e-06,1553.2886892947529
132,0.016271665133347348,0.019239005507494904,1.7743578862516217e-06,1554.9142486974677
133,0.016658507429617688,0.024460247197066475,2.1625986626681365e-06,1556.5368210691631
134,0.016146513227978047,0.020355705645924375,2.4573629059201755e-06,1558.156461241475
135,0.01762849753124262,0.019548558220354117,2.112894376560799e-06,1559.7732812697468
136,0.01683698329455427,0.01416899072255452,2.5215413833986355e-06,1561.3874521122732
137,0.016597823575427145,0.01841508411259857,1.8780641584213733e-06,1562.999204212836
138,0.016859583797080357,0.016469897677775798,2.3090226556786567e-06,1564.60882679164
139,0.01652568074469523,0.012493124548452396,1.717882883279863e-06,1566.2166656613504
