idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
0,0.04375438878573861,0.042489561698912104,3.180109338996791e-06,694.7052809850092
1,0.044975154409958196,0.040165672321562255,3.2417728715572215e-06,697.3189048413914
2,0.04377138404931949,0.04371543643066594,3.107958886050097e-06,699.9586280535127
3,0.05302688940040244,0.03870817661657577,3.4529141905273306e-06,702.6253346379671
4,0.047020785131946616,0.04213456346656187,3.3575935040379466e-06,705.3200431002467
5,0.05577800016263057,0.04487541746826736,3.0305642952336837e-06,708.0439087779255
6,0.04705915429352756,0.04113747168571157,3.236406177308738e-06,710.7982236596827
7,0.04039372909371801,0.033411014081014906,3.567011344653433e-06,713.5844131686273
8,0.046047132532978374,0.036251744115580714,3.510061444773153e-06,716.4040294341596
9,0.047612632976342065,0.04638886566268082,3.034158205042384e-06,719.2587406637733
10,0.049387073578500945,0.03902909318325433,3.074377356618136e-06,722.1503163718534
11,0.056550635869851575,0.04300672849727527,3.2657309644775407e-06,725.0806084290178
12,0.047614366830865874,0.03961607718660008,3.469049519016002e-06,728.0515281532596
13,0.05623894237892331,0.03829804754974656,3.1288733165231767e-06,731.0650199572664
14,0.05130717077817258,0.04243030909704795,3.0740362585497538e-06,734.1230323628213
15,0.05645131739369279,0.03996791344338054,3.297831266716309e-06,737.2274874596711
16,0.04461543828307274,0.035857876171209994,3.2726574849279495e-06,740.3802500806846
17,0.06177915335266709,0.04113211576646629,3.261615941671174e-06,743.5830980556887
18,0.051264031940017246,0.04369830461272638,3.127273372037185e-06,746.8376948715463
19,0.05196007826574458,0.0353256741141647,3.428551968933418e-06,750.1455659050662
20,0.05304770766329364,0.04039992133750848,3.2994894760360504e-06,753.5080791246195
21,0.049280401355045196,0.04095678172945379,3.222157841972517e-06,756.9264308160483
22,0.06053065853037042,0.038662291667600025,3.2823403218447895e-06,760.4016365201941
23,0.05296818715762781,0.044371622607409296,3.279609174528968e-06,763.9345270236967
24,0.057477463329187684,0.04630580418174371,3.244119114072831e-06,767.5257489584568
25,0.0527512180238478,0.041671404472120845,3.642291449447505e-06,771.1757693627061
26,0.048260171323877346,0.03837083243399299,3.326874528209409e-06,774.8848834473371
27,0.050714674897693636,0.035366998218182545,3.012880328480054e-06,778.6532247887662
28,0.056110054556967416,0.038813655918841485,3.2491885631585136e-06,782.4807772163169
29,0.04892581203981929,0.04238519882743399,3.2338575387271308e-06,786.3673877601763
30,0.0499241562203575,0.043882274777022265,3.1278285589949977e-06,790.3127801494896
31,0.04462234715722287,0.03538271004425845,3.3965035154743704e-06,794.3165684844255
32,0.044321061024030724,0.03669522490115817,3.370910293720199e-06,798.3782708332624
33,0.04650760480076032,0.035897146598295133,3.094620974294306e-06,802.4973226200743
34,0.04401985542348662,0.03675962889377156,3.2931468023640645e-06,806.6730897628179
35,0.0458471312181432,0.039590099153082994,3.322825880466194e-06,810.9048815963831
36,0.04835210254054042,0.04058325647468705,3.0754927622344577e-06,815.1919636707989
37,0.05108141436853042,0.04370261941556359,3.427446168058224e-06,819.5335705549064
38,0.0483529033438134,0.03621926896375155,3.2549056903065802e-06,823.9289188012071
39,0.042657016803964644,0.035818157880594406,3.5639936731155555e-06,828.3772202452406
40,0.04252802552165455,0.04002513214901959,3.492483954625507e-06,832.8776958213261
41,0.04170088417711172,0.04088898419060586,3.3330174495602756e-06,837.4295900821089
42,0.047459267043397,0.039538296747549745,3.176939194708233e-06,842.0321866108051
43,0.04217654508959687,0.03489394955308643,3.1577833913366554e-06,846.6848245159391
44,0.04002634959373521,0.036679982172435725,3.5271775869439412e-06,851.3869161985833
45,0.04211816956979833,0.037742342262354185,3.350632632701003e-06,856.1379665818275
46,0.041731629003089854,0.03627168869474019,3.5869517577929816e-06,860.9375939930236
47,0.045734873164474575,0.04081363468229981,3.506886601171246e-06,865.7855528891138
48,0.042511376887786806,0.0388746335271683,3.433446714803674e-06,870.6817586154234
49,0.0436143083958244,0.03924790103188327,3.2860522238439313e-06,875.6263143863293
50,0.041483756270695386,0.0413643959474545,3.6135771968995467e-06,880.6195406719598
51,0.04582300439230688,0.04046317040908686,3.4309155352384078e-06,885.6620071662078
52,0.04369816542305276,0.036055251701906106,3.3910161681637383e-06,890.7545674954146
53,0.04030329251902607,0.03599795109561219,3.885803856134552e-06,895.8983968022089
54,0.04782242904880112,0.04063096549465919,3.1253022116530243e-06,901.0950322986797
55,0.04846584342738445,0.03993320480348047,3.3963764590220763e-06,906.3464168255988
56,0.04191796436374826,0.039533912119528405,3.4417182899764576e-06,911.6549453701382
57,0.04868880495279998,0.039338138886756,3.34326340470364e-06,917.0235143796026
58,0.043558709867411186,0.03860492167482163,3.840772996526009e-06,922.4555735499056
59,0.0479604849770224,0.037827198945716234,3.3967118294438106e-06,927.9551795605876
60,0.04876400371126703,0.03793692526712646,3.366430971345512e-06,933.527050958146
61,0.046589500390896654,0.03808469554322187,3.855847198846587e-06,939.1766230523333
62,0.05009877962653092,0.039098523889773355,3.5650743987657225e-06,944.9101012776705
63,0.04440660349480565,0.040056493412892566,3.2266572807264913e-06,950.7345109896002
64,0.04900245134192386,0.03728837726242794,3.303637713541505e-06,956.6577411240096
