material   : carbon-chain
h5path     : /scratch/yimili/matrices/hdf5/carbon-chain.h5
block size : 104
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
  88  1.746461e-02  1.505556e-02  2.485819e-06  1.491886e+03
  89  1.639757e-02  1.423943e-02  2.097397e-06  1.493119e+03
  90  1.805902e-02  1.809637e-02  1.655505e-06  1.494356e+03
  91  1.617251e-02  1.481525e-02  1.889739e-06  1.495596e+03
  92  1.697316e-02  1.624145e-02  1.898889e-06  1.496840e+03
  93  1.597560e-02  1.604633e-02  1.827225e-06  1.498088e+03
  94  1.664943e-02  1.488359e-02  1.746897e-06  1.499340e+03
  95  1.716494e-02  2.166812e-02  1.620237e-06  1.500596e+03
  96  1.716436e-02  1.858394e-02  2.383735e-06  1.501857e+03
  97  1.669492e-02  1.881922e-02  1.784437e-06  1.503122e+03
  98  1.723263e-02  1.337121e-02  2.481961e-06  1.504392e+03
  99  1.701940e-02  1.537424e-02  2.126821e-06  1.505667e+03
 100  1.668539e-02  1.823860e-02  1.909987e-06  1.506946e+03
 101  1.686713e-02  1.652070e-02  1.932854e-06  1.508231e+03
 102  1.664144e-02  1.563501e-02  2.347914e-06  1.509521e+03
 103  1.596761e-02  1.396858e-02  2.190703e-06  1.510817e+03
 104  1.650696e-02  1.646602e-02  1.578278e-06  1.512118e+03
 105  1.636663e-02  1.418989e-02  1.635835e-06  1.513425e+03
 106  1.697740e-02  1.212224e-02  2.107898e-06  1.514739e+03
 107  1.637073e-02  9.856017e-03  2.040593e-06  1.516058e+03
 108  1.705449e-02  1.974044e-02  2.124694e-06  1.517385e+03
 109  1.715055e-02  1.525178e-02  1.953316e-06  1.518718e+03
 110  1.630905e-02  1.731215e-02  2.353514e-06  1.520060e+03
 111  1.668763e-02  1.233632e-02  2.759545e-06  1.521411e+03
 112  1.739496e-02  1.452402e-02  2.126952e-06  1.522774e+03
 113  1.739143e-02  1.336491e-02  2.104805e-06  1.524155e+03
 114  1.669053e-02  1.937624e-02  2.743279e-06  1.525576e+03
 115  1.743193e-02  1.634001e-02  2.234278e-06  1.527085e+03
