idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
326,0.23319038292493285,0.2279562940859163,1.1088941225511611e-05,18089.51115242633
327,0.4534804966302181,0.35764990794101253,7.766249087259896e-05,140273.04328115893
328,1.2125209129348054,0.4754336797211248,1.483850368635733e-05,13547.027855733535
329,nan,nan,1.258773913762487e-05,7332.473014153554
330,nan,nan,3.380907466073545e-05,6257.1908827166035
331,0.28297692940174746,0.32036040155337514,1.1886327977064982e-05,6435.421814897642
332,nan,nan,1.6516964426260697e-05,5680.472622271328
333,0.271563444421101,0.30307419003121294,1.8636947052952552e-05,5058.0821482697565
334,0.3312665425430263,0.2838690501506276,2.4164147878268974e-05,4536.652845832195
335,0.4198681064973687,0.3086581511124895,5.429037923667278e-05,4732.6091858830305
336,0.6820922911572976,0.42950875667147337,0.00019498022655027638,5878.700924999633
337,nan,nan,0.00024067725230377486,8375.72311652429
338,nan,nan,8.412066212566192e-05,18776.727357018033
339,nan,nan,0.00018834995252622774,32324.912934479304
340,4.539763353830319,2.3162702506715145,5.5774704165468155e-05,22680.7330445574
341,2.3353935915490394,2.097009167077654,4.8497115168516996e-05,19726.585501049478
342,1.491970603259864,2.2344244488914,3.593377186035447e-05,19524.8256758597
343,0.5660458321708963,1.1179832694303502,3.905643426008623e-05,20099.473243395933
344,0.8489470890979027,1.329951532412976,3.045236656828357e-05,21201.596288991303
345,1.1941644205811588,1.889523754738938,3.058084704079313e-05,23178.64201801619
346,0.9125309102033586,1.2353756438405556,0.00016492242768948573,26292.265363220115
347,0.5314284917329499,1.1199893322510455,2.9521738812340327e-05,30853.13755547768
348,0.6006678242544113,1.5732219787734505,6.322379067899721e-05,37417.81925726663
349,0.6385747535860428,1.2508204239777936,7.409593317510811e-05,47061.57262587231
350,0.5665215484966516,1.3239939743366533,4.2638985043418694e-05,69454.24211612162
351,0.7087595397111566,1.2420734156308402,0.00012927531983903624,133658.57486141173
352,nan,nan,0.0008467961537444648,120022.29742582122
353,0.964582748791369,1.7112125541294168,0.00021003293038255583,157544.43095572913
354,nan,nan,0.0002673574268170981,242062.6954067406
355,0.7466936173116664,1.0851362227638321,9.932853131597399e-05,530917.467211114
356,1.0569670015131565,0.9772703961435095,0.00017571124795256305,1430307.062870622
357,nan,nan,0.0003227419518298586,253271.89568808215
358,nan,nan,4.49779028541023e-05,135204.1497755432
359,1.343505908831885,1.1291763940275077,6.273469866297395e-05,172044.0060200964
360,1.062528408992985,1.4530352212656148,6.550814427562264e-05,88938.91365112296
361,2.090970351922585,2.5343422139859073,3.769778216507441e-05,59533.67372153381
362,1.0612666634257535,2.0499450730037867,0.00023330435188779369,46382.50927740233
363,0.38530888193599233,1.332148733265334,3.8505458583024485e-05,38008.18475282587
364,0.6356577176522373,1.6120547579856987,3.823831704669538e-05,32538.210325061707
365,2.252893314328617,1.685829102288437,3.445145533975638e-05,29152.854403632846
366,0.39880096465763276,1.1732228124168653,4.97618916915521e-05,26996.731533061913
367,0.4936525488246168,1.245670358104355,2.666707745666022e-05,25678.789835469353
368,0.34006267409320867,1.498276961916972,4.3548504336743744e-05,25125.00200745556
369,0.47154039044094076,1.3329734840537764,3.145827511558719e-05,25570.482995928483
370,0.4572458198716549,1.4071224177984514,5.495899652824587e-05,29042.024722705766
371,0.3630726423567769,1.2208884646361815,5.807782274548755e-05,46813.77526363583
372,nan,nan,9.987189530962626e-05,34656.711401974324
373,nan,nan,4.865823003196922e-05,26388.39109044339
374,nan,nan,1.8411239565113434e-05,21594.001400510384
375,0.3797418311111559,1.1419806404461483,2.426455530187095e-05,18418.473828768474
376,0.28176445368875336,1.2190078715974626,2.3735124029620158e-05,16240.463049835242
377,0.240835985819166,1.0458729089897765,2.3528362975536013e-05,14783.481907887639
378,0.24183382594502037,1.1805111828292845,2.6358123222491314e-05,13982.310647297561
379,0.2242892771523832,1.1487442200879676,1.7469955641871915e-05,13719.484952601546
380,0.3121727570783965,1.1000701855757857,1.989791184985221e-05,13581.459271662197
