material   : graphene
h5path     : /scratch/yimili/matrices/hdf5/graphene.h5
block size : 416
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
  88  4.650997e-02  4.124051e-02  3.958222e-06  1.160580e+03
  89  4.729124e-02  3.767217e-02  4.304127e-06  1.173131e+03
  90  4.687943e-02  4.234017e-02  4.429587e-06  1.186132e+03
  91  4.586350e-02  4.007897e-02  4.320859e-06  1.199603e+03
  92  5.211551e-02  3.847997e-02  4.034730e-06  1.213568e+03
  93  4.835069e-02  4.094448e-02  3.955890e-06  1.228054e+03
  94  4.896841e-02  4.341346e-02  4.114542e-06  1.243091e+03
  95  5.063011e-02  4.014027e-02  4.434603e-06  1.258714e+03
  96  4.940312e-02  4.249742e-02  4.305833e-06  1.274962e+03
  97  4.792395e-02  3.832011e-02  4.064711e-06  1.291880e+03
  98  5.260184e-02  4.551863e-02  4.333309e-06  1.309519e+03
  99  5.088204e-02  4.279597e-02  4.279187e-06  1.327939e+03
 100  4.971315e-02  4.362315e-02  4.580634e-06  1.347206e+03
 101  4.860790e-02  4.107217e-02  3.931928e-06  1.367400e+03
 102  5.033538e-02  4.340157e-02  3.681465e-06  1.388611e+03
 103  5.023842e-02  4.395293e-02  4.115898e-06  1.410944e+03
 104  5.044024e-02  4.290338e-02  3.556370e-06  1.434523e+03
 105  4.851684e-02  4.426904e-02  3.787527e-06  1.459490e+03
 106  5.172806e-02  4.466478e-02  3.789962e-06  1.486017e+03
 107  5.268441e-02  4.128539e-02  4.276310e-06  1.514304e+03
 108  5.192282e-02  4.487556e-02  4.638053e-06  1.544592e+03
 109  5.325313e-02  4.720260e-02  5.977282e-06  1.577169e+03
 110  5.052865e-02  4.090676e-02  4.460048e-06  1.612383e+03
 111  5.086840e-02  3.867851e-02  4.443715e-06  1.650663e+03
 112  5.484269e-02  4.633973e-02  5.141025e-06  1.692536e+03
 113  5.128031e-02  4.626258e-02  4.664471e-06  1.738666e+03
 114  5.504989e-02  4.576950e-02  5.176590e-06  1.789904e+03
 115  5.238371e-02  4.790404e-02  5.965793e-06  1.847371e+03
 116  5.457391e-02  4.612447e-02  5.522290e-06  1.912588e+03
 117  5.455030e-02  5.862465e-02  6.191879e-06  1.987713e+03
 118  5.680907e-02  4.488966e-02  4.334729e-06  2.075996e+03
 119  6.358876e-02  5.178383e-02  4.482785e-06  2.182741e+03
 120  5.689044e-02  4.530645e-02  6.853868e-06  2.317766e+03
 121  5.465577e-02  4.779329e-02  4.625592e-06  2.503584e+03
 122  5.885883e-02  5.094426e-02  5.980695e-06  2.826153e+03
 123  5.892028e-02  6.332672e-02  5.605929e-06  3.096397e+03
