idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
0,0.008383484903352138,0.02635519935412414,2.3613576923937172e-06,4699.693789557269
1,0.008483262902513333,0.02405597380368488,1.7403026814596452e-06,4820.359462144712
2,0.008671669509689185,0.024525401462876954,2.54974584958425e-06,4800.5043917698185
3,0.00922926936573529,0.023038750237348554,1.7274455571945825e-06,4651.707106104193
4,0.009431092989991617,0.025678944251505544,1.9136403632051753e-06,4412.509584322942
5,0.011145272732229788,0.028978127890853703,1.8787872331186338e-06,4127.966709700377
6,0.011139827331625135,0.028098938402751596,2.2462564064508075e-06,3833.9915672935026
7,0.012448953686590861,0.02836604099602594,2.161932113710648e-06,3552.815818096504
8,0.012688624860125935,0.02070902141361473,2.323093259969167e-06,3295.365097300677
9,0.014114948152867667,0.02422276598994904,1.911479601056925e-06,3065.3334081577764
10,0.01338654604070744,0.019955740941245827,2.107531178519437e-06,2862.503125357043
11,0.013653808704292388,0.022373207062388642,2.1392707852746807e-06,2684.8599530748334
12,0.014756715759470095,0.021574209750080398,1.8866671022360727e-06,2529.7718015361106
13,0.016144128458591353,0.01964725859955327,2.2638597421552115e-06,2394.5852041565936
14,0.01766041777115895,0.023363495991793916,2.114427782284245e-06,2276.897878761508
15,0.017264631611688706,0.018328929934455156,2.011813469423121e-06,2174.6638783058397
16,0.01779123604856205,0.02396466139337661,2.2937738389095424e-06,2086.2172893383417
17,0.02042515584632429,0.022044919341653316,2.646947038331248e-06,2010.2589331631618
18,0.020190388696617573,0.02517348335918261,2.0332608730334107e-06,1945.828418797512
19,0.02064797222320659,0.022128191409210275,2.7123314254024946e-06,1892.273643446201
20,0.021063334231908967,0.022910455860531493,1.8343388220936742e-06,1849.2264527572047
21,0.022755522571033682,0.022329154844552106,2.1565271005911473e-06,1816.5932840270066
22,0.02477664195118124,0.023350187514041377,2.0266892389343054e-06,1794.5710627877086
23,0.026764999845637526,0.022586197625546246,2.480895008197904e-06,1783.7012801584265
24,0.025957764123219075,0.01942098944118355,2.489978237643574e-06,1784.9816624750003
25,0.02776558373716508,0.018367847738127822,1.872086331130592e-06,1800.0714180786592
26,0.028122604413046374,0.019667324919540208,1.8860810069105472e-06,1831.6664991738126
27,0.030363825866534192,0.0222885298887089,2.019527730511981e-06,1884.2228621105633
28,0.031405882536267894,0.02493575582845647,2.411303040770579e-06,1965.4898477853465
29,0.03362026715463023,0.03245914846002827,2.564652304374949e-06,2090.2649045319226
30,0.037024625001781115,0.02105091694961461,2.731170639535147e-06,2291.949619741724
31,0.03830476812592693,0.025253130194786293,6.811973122051227e-06,2678.016269951571
32,0.05462092844505342,0.04787122772276313,1.9449449740271314e-06,3546.990817788899
33,0.04859849489734929,0.0352261643656293,5.075179574242064e-06,2921.2541515952685
34,0.04531071020525036,0.043699747677552164,4.133242722662932e-06,2569.053218291838
35,0.04349717840643908,0.04048715086164116,2.5853129779048485e-06,2313.011744177688
36,0.04265586347036722,0.025295555724405214,7.231560291476618e-06,2112.477215472442
37,0.041706903759021315,0.027152601568896467,3.4246063630354146e-06,1949.446790344566
38,0.0399719240463341,0.027992372058625165,3.4443297785441374e-06,1813.8239427827632
39,0.04138478784998129,0.025557057242626153,1.7934949304314526e-06,1699.1444953170337
40,0.03890449838420386,0.021555144157831312,1.8009062224555497e-06,1600.9040432408399
41,0.04198827161192197,0.02418253378293676,1.654474127946506e-06,1515.7854170193627
42,0.04113689122976383,0.023479092319162797,3.4996187326220293e-06,1441.2644306583868
43,0.046362986557714994,0.023910224659979332,2.427246291767148e-06,1375.4260916210428
44,0.045760238646906364,0.019941476212437886,2.154389768854863e-06,1338.9663820741646
45,0.04993288975707795,0.0360749659384185,2.711612565260809e-06,1529.5017042203492
