material   : si-bulk
h5path     : /scratch/yimili/matrices/hdf5/si-bulk.h5
block size : 256
requested  : idx 0..401 (402 indices)
completed  : 384
failed     : 18
failed indices:
  idx=270: KeyError('Unable to synchronously open object (component not found)')
  idx=271: KeyError('Unable to synchronously open object (component not found)')
  idx=272: KeyError('Unable to synchronously open object (component not found)')
  idx=273: KeyError('Unable to synchronously open object (component not found)')
  idx=274: KeyError('Unable to synchronously open object (component not found)')
  idx=275: KeyError('Unable to synchronously open object (component not found)')
  idx=276: KeyError('Unable to synchronously open object (component not found)')
  idx=277: KeyError('Unable to synchronously open object (component not found)')
  idx=278: KeyError('Unable to synchronously open object (component not found)')
  idx=279: KeyError('Unable to synchronously open object (component not found)')
  idx=280: KeyError('Unable to synchronously open object (component not found)')
  idx=281: KeyError('Unable to synchronously open object (component not found)')
  idx=282: KeyError('Unable to synchronously open object (component not found)')
  idx=283: KeyError('Unable to synchronously open object (component not found)')
  idx=284: KeyError('Unable to synchronously open object (component not found)')
  idx=285: KeyError('Unable to synchronously open object (component not found)')
  idx=286: KeyError('Unable to synchronously open object (component not found)')
  idx=287: KeyError('Unable to synchronously open object (component not found)')

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
  74  1.814548e-01  4.646514e-01  7.196534e-06  6.305695e+02
  75  1.779330e-01  4.538387e-01  7.591361e-06  6.308600e+02
  76  1.795524e-01  4.512423e-01  6.934316e-06  6.311693e+02
  77  1.829863e-01  4.507486e-01  7.031081e-06  6.314990e+02
  78  1.876746e-01  4.535082e-01  7.268712e-06  6.318505e+02
  79  1.702859e-01  4.646197e-01  6.711538e-06  6.322252e+02
  80  1.814771e-01  4.480312e-01  6.932201e-06  6.326243e+02
  81  1.901393e-01  4.472521e-01  6.913632e-06  6.330488e+02
  82  1.904257e-01  4.619370e-01  7.161678e-06  6.335001e+02
  83  1.779116e-01  4.604875e-01  7.685803e-06  6.339799e+02
  84  1.804545e-01  4.646542e-01  8.701328e-06  6.344922e+02
  85  1.817849e-01  4.619161e-01  7.234529e-06  6.350482e+02
  86  1.818829e-01  4.578237e-01  7.488160e-06  6.356894e+02
  87  1.840933e-01  4.411480e-01  7.179802e-06  6.364850e+02
  88  1.762788e-01  4.622546e-01  6.661225e-06  6.373789e+02
  89  1.746320e-01  4.435478e-01  6.689540e-06  6.382983e+02
  90  1.818976e-01  4.477431e-01  7.018284e-06  6.392223e+02
  91  1.839357e-01  4.536603e-01  7.209230e-06  6.401450e+02
  92  1.878698e-01  4.583658e-01  7.633220e-06  6.410646e+02
  93  1.821103e-01  4.699893e-01  6.467693e-06  6.419804e+02
  94  1.882322e-01  4.530986e-01  7.423902e-06  6.428926e+02
  95  1.821541e-01  4.769272e-01  6.965220e-06  6.438015e+02
  96  1.959691e-01  4.580027e-01  6.853105e-06  6.447079e+02
  97  1.924574e-01  4.796693e-01  7.358214e-06  6.456125e+02
  98  1.910994e-01  4.693924e-01  7.469775e-06  6.465161e+02
  99  1.943910e-01  4.814672e-01  6.674683e-06  6.474195e+02
 100  1.802742e-01  4.570890e-01  7.560599e-06  6.483230e+02
 101  1.875665e-01  4.634033e-01  9.150977e-06  6.492271e+02
 102  1.790307e-01  4.768648e-01  9.357548e-06  6.501316e+02
 103  1.990433e-01  4.630436e-01  6.784561e-06  6.510365e+02
 104  1.800635e-01  4.958412e-01  8.527115e-06  6.519413e+02
 105  1.858177e-01  4.909215e-01  6.850488e-06  6.528459e+02
 106  1.774154e-01  4.875053e-01  6.392100e-06  6.537502e+02
 107  1.887954e-01  4.889271e-01  8.930167e-06  6.546544e+02
 108  1.907953e-01  4.843020e-01  7.733763e-06  6.555592e+02
 109  1.989174e-01  4.655900e-01  7.586376e-06  6.564653e+02
 110  1.886372e-01  4.835444e-01  7.693377e-06  6.573742e+02
 111  1.899892e-01  4.876580e-01  7.545073e-06  6.582871e+02
 112  1.833751e-01  4.749366e-01  8.220999e-06  6.592054e+02
 113  1.858573e-01  4.734876e-01  7.111729e-06  6.601300e+02
 114  1.872761e-01  4.761610e-01  6.984220e-06  6.610615e+02
 115  1.802548e-01  4.766779e-01  6.128897e-06  6.619999e+02
 116  1.767139e-01  4.774691e-01  6.643888e-06  6.629447e+02
 117  1.890443e-01  4.635261e-01  7.852261e-06  6.638955e+02
 118  1.821108e-01  4.803296e-01  7.364145e-06  6.648521e+02
 119  1.863989e-01  4.844215e-01  7.688358e-06  6.658153e+02
 120  1.808862e-01  4.878479e-01  6.577756e-06  6.667871e+02
 121  1.749157e-01  4.688468e-01  7.237030e-06  6.677713e+02
 122  1.792529e-01  4.870807e-01  7.184155e-06  6.687740e+02
 123  1.784993e-01  4.792660e-01  7.186998e-06  6.698023e+02
 124  1.833478e-01  4.826572e-01  6.818907e-06  6.708608e+02
 125  1.903959e-01  4.733196e-01  7.066220e-06  6.719476e+02
 126  1.983497e-01  4.763685e-01  7.229196e-06  6.730537e+02
 127  1.908098e-01  4.757042e-01  7.754354e-06  6.741691e+02
 128  1.922402e-01  4.801440e-01  7.928111e-06  6.752855e+02
 129  1.928532e-01  4.818690e-01  7.190424e-06  6.763978e+02
 130  1.803201e-01  4.798464e-01  7.475100e-06  6.775037e+02
 131  1.869366e-01  4.733265e-01  8.211708e-06  6.786033e+02
 132  1.857373e-01  4.712561e-01  7.574203e-06  6.796990e+02
 133  1.863303e-01  4.921960e-01  7.127562e-06  6.807954e+02
 134  1.937626e-01  4.802610e-01  6.961224e-06  6.818992e+02
 135  1.786046e-01  4.756831e-01  6.258751e-06  6.830199e+02
 136  1.865218e-01  4.571950e-01  7.302026e-06  6.841672e+02
 137  1.871980e-01  4.716741e-01  7.357644e-06  6.853436e+02
 138  1.881502e-01  4.777967e-01  7.163008e-06  6.866330e+02
 139  1.764489e-01  4.585948e-01  7.279630e-06  6.885655e+02
 140  1.755534e-01  4.805481e-01  7.620739e-06  6.905605e+02
 141  1.820073e-01  4.774170e-01  6.933858e-06  6.925985e+02
 142  1.800052e-01  4.642343e-01  7.500613e-06  6.946637e+02
 143  1.821351e-01  4.660715e-01  9.394032e-06  6.967443e+02
 144  1.852028e-01  4.871827e-01  7.885032e-06  6.988332e+02
 145  1.738982e-01  4.709978e-01  7.673434e-06  7.009284e+02
 146  1.714629e-01  4.664993e-01  8.183538e-06  7.030335e+02
 147  1.883847e-01  4.833015e-01  7.777612e-06  7.051577e+02
 148  1.865903e-01  4.747367e-01  8.215101e-06  7.540189e+02
 149  1.867055e-01  4.790815e-01  8.075506e-06  9.501040e+02
 150  1.776607e-01  4.508954e-01  8.364399e-06  1.289320e+03
 151  1.845249e-01  4.791478e-01  9.457151e-06  2.033926e+03
 152  1.789576e-01  4.727626e-01  1.820128e-05  5.657731e+03
 153  1.921368e-01  9.434888e-01  3.906280e-05  8.898305e+03
 154  1.958831e-01  8.348703e-01  4.354504e-05  5.726093e+03
 155  2.333482e-01  1.058868e+00  2.790806e-05  4.678849e+03
 156  3.164976e-01  1.945528e+00  2.641209e-05  4.152362e+03
 157  2.153857e-01  1.250273e+00  1.876692e-05  3.734483e+03
 158  2.320893e-01  1.324364e+00  1.748289e-05  3.437857e+03
 159  2.136678e-01  9.883168e-01  2.552192e-05  3.245597e+03
 160  1.980104e-01  9.217726e-01  1.729076e-05  3.100165e+03
 161  2.056086e-01  1.068550e+00  1.268603e-05  2.969456e+03
 162  2.139089e-01  1.110154e+00  2.588146e-05  2.854276e+03
 163  2.241175e-01  9.941815e-01  1.334060e-05  2.763093e+03
 164  2.095358e-01  9.400407e-01  1.692558e-05  2.694775e+03
 165  3.018028e-01  1.009855e+00  2.314653e-05  2.639875e+03
 166  4.812635e-01  1.357518e+00  1.164666e-05  2.590287e+03
 167  1.993209e-01  8.595974e-01  1.244464e-05  2.544503e+03
 168  1.888149e-01  7.367043e-01  1.171461e-05  2.505590e+03
 169  1.960178e-01  6.676035e-01  1.284737e-05  2.476204e+03
 170  1.949755e-01  7.438589e-01  1.314828e-05  2.455640e+03
 171  1.905713e-01  6.787344e-01  1.543517e-05  2.440749e+03
 172  1.833005e-01  7.521796e-01  1.710989e-05  5.959321e+03
 173  2.116803e-01  9.924684e-01  3.053482e-05  9.317817e+03
 174  1.979782e-01  8.970759e-01  3.376415e-05  5.951243e+03
 175  2.313786e-01  9.812346e-01  2.390924e-05  4.933452e+03
 176  2.712196e-01  1.459778e+00  2.186796e-05  4.348398e+03
 177  2.617293e-01  1.194599e+00  2.290473e-05  3.903610e+03
 178  3.126580e-01  1.938835e+00  2.120126e-05  3.619092e+03
 179  2.319890e-01  1.174256e+00  1.932713e-05  3.428198e+03
 180  2.201953e-01  1.048353e+00  1.494702e-04  3.265813e+03
 181  2.003884e-01  1.012319e+00  1.474490e-05  3.121953e+03
 182  2.168143e-01  1.064906e+00  2.291379e-05  3.008176e+03
 183  2.080487e-01  9.192781e-01  2.055000e-05  2.924076e+03
 184  2.053398e-01  1.035906e+00  2.965929e-05  2.856654e+03
 185  2.057101e-01  8.817117e-01  1.846151e-05  2.795554e+03
 186  4.476188e-01  1.118158e+00  1.369059e-05  2.834666e+03
 187  2.504340e-01  1.132977e+00  2.541600e-05  2.913174e+03
 188  2.213034e-01  1.129223e+00  2.021372e-05  2.998812e+03
 189  2.516816e-01  9.938961e-01  2.425248e-05  3.956543e+03
 190  2.093629e-01  9.928379e-01  3.816984e-05  1.271245e+04
 191  2.295974e-01  9.819097e-01  3.845133e-05  7.458304e+03
 192  2.144550e+00  8.383706e+00  3.323451e-05  6.305548e+03
 193  3.157413e-01  1.244906e+00  3.732879e-05  5.708768e+03
 194  2.793641e-01  1.156085e+00  3.122360e-05  5.477946e+03
 195  4.757456e-01  1.374222e+00  4.491632e-05  5.486132e+03
 196  2.597117e-01  1.275705e+00  5.266557e-05  5.679178e+03
 197  2.487372e-01  1.256371e+00  3.998723e-05  6.246814e+03
 198  2.751127e-01  1.279944e+00  1.003645e-04  7.577756e+03
 199  3.740221e+00  3.623847e+00  8.717659e-05  1.492460e+04
 200  2.950924e-01  1.569007e+00  3.387667e-05  4.573013e+03
 201  1.209758e+00  2.514689e+00  1.325300e-04  6.844506e+04
 202  2.485903e-01  9.933881e-01  2.407841e-05  3.498344e+03
 203  2.445687e-01  1.212178e+00  1.676070e-05  2.797369e+03
 204  2.154272e-01  9.973360e-01  2.620761e-05  2.851460e+03
 205  2.229241e-01  9.080848e-01  2.050659e-05  4.274663e+03
 206  2.236565e-01  8.808412e-01  6.781478e-05  2.667552e+04
 207  2.497631e-01  9.278608e-01  2.256360e-05  3.235627e+03
 208  2.135111e-01  1.063886e+00  2.109571e-05  3.202336e+03
 209  2.131778e-01  8.116208e-01  2.543065e-05  4.083137e+03
 210  2.379912e-01  1.073913e+00  6.164808e-05  1.337276e+04
 211  2.430489e-01  9.948862e-01  2.701312e-05  7.783986e+03
 212  3.303513e-01  1.510498e+00  3.783655e-05  6.608664e+03
 213  3.071899e-01  1.535192e+00  4.269308e-05  5.965272e+03
 214  2.679204e-01  1.333685e+00  4.801232e-05  5.760126e+03
 215  2.705982e-01  1.313179e+00  1.104653e-04  2.513234e+04
 216  3.172365e-01  1.467031e+00  3.390873e-05  6.557761e+03
 217  5.751920e-01  1.718356e+00  4.662243e-05  8.069688e+03
 218  3.035986e-01  1.233168e+00  7.153352e-05  1.111886e+04
 219  8.251637e-01  1.519605e+00  7.373750e-05  1.748798e+04
 220  9.472826e-01  2.451406e+00  1.821521e-03  2.686864e+05
 221  nan  nan  2.149041e-05  3.707549e+03
 222  nan  nan  2.301911e-05  1.857310e+03
 223  2.377823e-01  6.461091e-01  3.038529e-05  3.762035e+03
 224  2.457364e-01  6.230338e-01  1.842237e-04  1.442022e+05
 225  nan  nan  3.171898e-05  4.298645e+03
 226  3.535556e-01  1.266606e+00  2.173871e-05  1.977595e+03
 227  2.412445e-01  6.510409e-01  1.211870e-05  1.730558e+03
 228  2.212290e-01  5.671955e-01  1.527477e-05  3.279902e+03
 229  2.203115e-01  5.882080e-01  1.054392e-04  3.146938e+04
 230  2.120176e-01  5.890211e-01  1.628631e-05  4.141086e+03
 231  1.916744e-01  6.427504e-01  2.642699e-05  3.303039e+03
 232  2.983877e-01  1.484033e+00  1.452389e-04  3.399435e+04
 233  nan  nan  7.613051e-04  2.742215e+04
 234  2.642510e-01  9.998561e-01  1.302820e-04  1.945484e+04
 235  3.517040e+00  1.735758e+01  2.228507e-05  3.076381e+03
 236  nan  nan  8.930967e-05  1.924070e+04
 237  1.889042e-01  1.004796e+00  1.779654e-05  5.485644e+03
 238  1.925819e-01  1.163492e+00  3.225917e-05  5.776487e+03
 239  2.232239e-01  1.488785e+00  2.016053e-04  1.467021e+05
 240  2.746426e-01  5.709690e-01  2.309573e-05  4.201614e+03
 241  4.633444e-01  8.978433e-01  1.250239e-04  3.937634e+03
 242  6.425168e-01  2.701233e+00  3.324702e-04  9.506333e+04
 243  nan  nan  1.961604e-05  3.511673e+03
 244  3.037565e-01  6.106673e-01  1.662179e-05  2.162420e+03
 245  2.817238e-01  6.352433e-01  2.101553e-05  5.314093e+03
 246  nan  nan  2.486768e-05  1.159585e+04
 247  2.190092e-01  6.249026e-01  1.221114e-05  2.771581e+03
 248  2.145051e-01  5.358735e-01  1.022466e-05  2.882970e+03
 249  nan  nan  4.127601e-05  1.388557e+04
 250  2.525209e-01  7.669138e-01  5.615860e-05  3.936600e+04
 251  2.547130e-01  6.274041e-01  2.655060e-05  5.023213e+03
 252  6.770916e-01  3.495948e+00  5.202879e-05  1.319420e+04
 253  2.327104e-01  5.534255e-01  2.320014e-05  5.749517e+03
 254  1.065097e+00  3.572008e+00  1.523394e-04  8.800345e+04
 255  3.604451e-01  1.206877e+00  3.060555e-05  3.489168e+03
 256  3.628227e-01  2.227315e+00  2.753494e-05  5.058822e+03
 257  nan  nan  2.906895e-05  1.367852e+04
 258  nan  nan  1.284379e-05  2.986580e+03
 259  1.904006e+01  7.881640e+01  3.476378e-05  2.824322e+03
 260  2.834138e-01  6.221379e-01  2.910338e-05  1.064357e+04
 261  1.527022e-01  4.165915e-01  3.146330e-05  6.362250e+03
 262  2.173193e-01  4.280027e-01  1.076592e-04  2.503972e+03
 263  nan  nan  2.371371e-05  3.109843e+03
 264  nan  nan  2.578993e-05  1.257625e+04
 265  5.076946e-01  8.773180e-01  2.307491e-05  9.444436e+03
 266  1.625168e-01  6.569138e-01  1.570261e-05  4.091943e+03
 267  1.663220e-01  5.437870e-01  3.889550e-04  5.957064e+04
 268  1.639850e-01  8.453047e-01  5.728257e-05  6.583252e+03
 269  2.264619e-01  1.451707e+00  2.677479e-04  3.775139e+04
 288  nan  nan  1.659948e-05  1.042618e+04
 289  3.836781e-01  1.806426e+00  6.845612e-05  2.760780e+04
 290  3.868222e-01  1.436131e+00  2.104761e-05  6.246223e+03
 291  7.794868e-01  5.470919e+00  2.250080e-05  3.857001e+03
 292  2.219249e-01  6.167500e-01  1.076744e-05  7.494861e+03
 293  3.648310e-01  6.865100e-01  1.078579e-04  7.102338e+04
 294  1.104017e-01  4.466012e-01  8.406497e-06  1.520602e+04
 295  nan  nan  9.211832e-06  1.029927e+04
 296  1.569797e-01  1.258024e+00  2.247180e-05  1.254938e+04
 297  1.266308e-01  2.442864e-01  5.852576e-06  7.597538e+04
 298  8.927655e-02  2.391891e-01  4.846172e-06  9.704269e+03
 299  nan  nan  8.313373e-06  3.706579e+03
 300  8.344836e-02  2.023726e-01  5.312674e-06  2.047900e+03
 301  nan  nan  3.371473e-06  1.579241e+03
 302  nan  nan  3.577325e-06  1.474238e+03
 303  8.150577e-02  1.782954e-01  4.202645e-06  1.397587e+03
 304  7.995334e-02  1.613471e-01  4.314280e-06  1.342535e+03
 305  8.606393e-02  1.523852e-01  6.509330e-06  1.304832e+03
 306  9.390482e-02  1.379043e-01  7.577792e-06  1.621971e+03
 307  1.063716e-01  1.519148e-01  2.104281e-05  2.860122e+03
 308  1.629366e-01  2.030694e-01  1.674690e-05  5.935673e+03
 309  3.564982e-01  2.767091e-01  5.518425e-05  1.572809e+04
 310  5.681943e-01  3.520877e-01  1.475346e-05  2.456851e+04
 311  4.685263e+00  2.732807e+00  2.636550e-05  2.140295e+04
 312  nan  nan  8.033290e-06  4.911850e+03
 313  5.809928e-01  3.601560e-01  6.278173e-06  4.129467e+03
 314  1.863963e-01  1.955489e-01  6.369885e-06  4.660931e+03
 315  1.748307e-01  1.915708e-01  1.072779e-04  5.349834e+03
 316  1.612398e-01  2.081211e-01  7.000576e-06  6.281729e+03
 317  3.194514e-01  2.075530e-01  6.259478e-06  7.617185e+03
 318  2.301262e-01  2.211036e-01  4.303783e-05  1.054983e+04
 319  1.673182e-01  2.378261e-01  7.508579e-06  2.074141e+04
 320  5.131239e-01  3.124739e-01  1.679343e-05  4.731904e+04
 321  2.000542e+00  1.795282e+00  9.367487e-05  1.277383e+05
 322  2.597434e+00  7.207777e-01  6.050490e-05  1.567297e+05
 323  2.216503e-01  3.685648e-01  2.286381e-05  4.637688e+04
 324  2.369251e-01  3.145966e-01  1.117236e-05  2.646608e+04
 325  2.213704e-01  3.771781e-01  1.202199e-05  1.814620e+04
 326  2.331904e-01  2.279563e-01  1.108894e-05  1.808951e+04
 327  4.534805e-01  3.576499e-01  7.766249e-05  1.402730e+05
 328  1.212521e+00  4.754337e-01  1.483850e-05  1.354703e+04
 329  nan  nan  1.258774e-05  7.332473e+03
 330  nan  nan  3.380907e-05  6.257191e+03
 331  2.829769e-01  3.203604e-01  1.188633e-05  6.435422e+03
 332  nan  nan  1.651696e-05  5.680473e+03
 333  2.715634e-01  3.030742e-01  1.863695e-05  5.058082e+03
 334  3.312665e-01  2.838691e-01  2.416415e-05  4.536653e+03
 335  4.198681e-01  3.086582e-01  5.429038e-05  4.732609e+03
